PlotID,Accepted_name,Height,dbh1,dbh2,dbh3,dbh4,dbh5,dbh6
AC12,Coffea_canephora,5.08,1.09,NA,NA,NA,NA,NA
AC12,Litsea_floribunda,5.16,5.28,NA,NA,NA,NA,NA
AC12,Coffea_canephora,2.8,1.28,NA,NA,NA,NA,NA
AC12,Mallotus_philippensis,3.88,3.76,NA,NA,NA,NA,NA
AC12,Cinnamomum_malabatrum,4.67,4.62,NA,NA,NA,NA,NA
AC12,Heynea_trijuga,8,6.1,NA,NA,NA,NA,NA
AC13,Coffea_arabica,2.38,2.3,NA,NA,NA,NA,NA
AC13,Dimocarpus_longan,1.89,1,1.2,NA,NA,NA,NA
AC13,Dimocarpus_longan,3.5,1.3,NA,NA,NA,NA,NA
AC13,Dimocarpus_longan,3.21,1.7,NA,NA,NA,NA,NA
AC13,Coffea_canephora,4.68,4.2,5.4,3.5,3.5,NA,NA
AC13,Aglaia_elaeagnoidea,3.04,1.6,NA,NA,NA,NA,NA
AC13,Dimocarpus_longan,2.05,1.3,NA,NA,NA,NA,NA
AC13,Dimocarpus_longan,1.8,1.1,NA,NA,NA,NA,NA
AC13,Dimocarpus_longan,3.77,3,NA,NA,NA,NA,NA
AC13,Microtropis_latifolia,4.3,5,NA,NA,NA,NA,NA
AC13,Coffea_canephora,3.25,1.3,NA,NA,NA,NA,NA
AC13,Coffea_canephora,5.5,2.5,NA,NA,NA,NA,NA
AC13,Dimocarpus_longan,5,2,NA,NA,NA,NA,NA
AC13,Dimocarpus_longan,3.4,1.2,NA,NA,NA,NA,NA
AC13,Coffea_canephora,2.5,1.3,NA,NA,NA,NA,NA
AC13,Cinnamomum_malabatrum,6.2,5.7,NA,NA,NA,NA,NA
AC13,Casearia_graveolens,6.2,5,NA,NA,NA,NA,NA
AC14,Coffea_canephora,4.75,2.5,2.4,3.6,3.2,NA,NA
AC14,Vateria_indica,3.09,2.9,NA,NA,NA,NA,NA
AC14,Dimocarpus_longan,3.51,3.3,NA,NA,NA,NA,NA
AC14,Callicarpa_tomentosa,4.9,5.4,NA,NA,NA,NA,NA
AC14,Dimocarpus_longan,3.96,3,NA,NA,NA,NA,NA
AC14,Diospyros_nilagirica,4.31,4.9,NA,NA,NA,NA,NA
AC14,Dimocarpus_longan,4.94,4.6,NA,NA,NA,NA,NA
AC14,Aglaia_elaeagnoidea,2,1,NA,NA,NA,NA,NA
AC14,Coffea_arabica,3.81,2.5,NA,NA,NA,NA,NA
AC14,Diospyros_nilagirica,2.76,1.9,NA,NA,NA,NA,NA
AC14,Vateria_indica,3.1,1.5,NA,NA,NA,NA,NA
AC14,Vateria_indica,6.88,7,NA,NA,NA,NA,NA
AC14,Nothopegia_beddomei,3.82,2.8,NA,NA,NA,NA,NA
AC14,Vateria_indica,2.03,1,NA,NA,NA,NA,NA
AC14,Vateria_indica,3.27,2,NA,NA,NA,NA,NA
AC14,Vateria_indica,5.77,3.5,NA,NA,NA,NA,NA
AC14,Vateria_indica,2.3,1.9,NA,NA,NA,NA,NA
AC14,Vateria_indica,2.4,1.6,NA,NA,NA,NA,NA
